No.,x[mm],y[mm],z[mm],U[m/s],V[m/s],W[m/s],<u'2>[m2/s2],<v'2>[m2/s2],<w'2>[m2/s2],k[m2/s2]
193,300,-150,12.5,1.847,-0.48,-0.062,2.915,0.628,0.251,1.897
194,300,-175,12.5,2.552,-0.326,-0.092,2.742,0.61,0.225,1.789
195,300,-200,12.5,3.046,-0.13,-0.097,2.303,0.918,0.204,1.713
196,300,-250,12.5,3.398,0.4,-0.084,1.687,0.747,0.15,1.292
197,300,-300,12.5,3.317,0.718,-0.019,1.062,0.918,0.116,1.048
198,300,-350,12.5,3.384,0.692,0.009,0.874,1.039,0.087,1
199,400,0,12.5,-0.02,0.085,-0.019,0.865,1.646,0.274,1.393
200,400,-25,12.5,-0.079,-0.121,-0.033,0.821,1.548,0.291,1.33
201,400,-50,12.5,0.108,-0.136,-0.032,1.107,1.446,0.295,1.424
202,400,-75.5,12.5,0.436,-0.296,-0.043,1.313,1.27,0.299,1.441
203,400,-100,12.5,0.683,-0.343,-0.062,1.66,0.899,0.287,1.423
204,400,-110,12.5,0.888,-0.275,-0.067,1.667,0.95,0.281,1.449
205,400,-125.5,12.5,1.185,-0.29,-0.087,1.975,1.001,0.275,1.626
206,400,-150,12.5,1.525,-0.222,-0.068,2.048,0.855,0.238,1.571
207,400,-175,12.5,2.077,-0.154,-0.082,2.246,0.753,0.206,1.603
208,400,-200,12.5,2.348,-0.055,-0.083,2.181,0.738,0.169,1.544
209,400,-250,12.5,2.931,0.262,-0.054,1.552,0.726,0.131,1.205
210,400,-300,12.5,3.113,0.512,-0.031,1.088,0.854,0.103,1.023
211,400,-350,12.5,3.209,0.497,-0.015,0.868,0.959,0.077,0.952
212,550,0,12.5,1.179,0.197,-0.136,0.822,1.411,0.289,1.261
213,550,-25,12.5,1.205,0.14,-0.101,0.775,1.33,0.265,1.185
214,550,-50,12.5,1.19,0.126,-0.135,0.805,1.326,0.278,1.205
215,550,-75.5,12.5,1.301,0.081,-0.124,0.973,1.228,0.262,1.232
216,550,-100,12.5,1.467,0.132,-0.111,1.019,1.242,0.267,1.264
217,550,-110,12.5,1.485,0.134,-0.107,1.056,1.14,0.237,1.217
218,550,-125.5,12.5,1.572,0.168,-0.121,1.206,1.279,0.244,1.365
219,550,-150,12.5,1.681,0.184,-0.106,1.211,1.139,0.213,1.282
220,550,-175,12.5,1.933,0.165,-0.083,1.343,0.978,0.178,1.25
221,550,-200,12.5,2.106,0.258,-0.079,1.365,0.927,0.165,1.229
222,550,-250,12.5,2.54,0.395,-0.045,1.353,0.867,0.13,1.175
223,550,-300,12.5,2.71,0.472,-0.029,1.139,0.834,0.087,1.03
224,550,-350,12.5,2.903,0.446,-0.005,0.899,0.909,0.069,0.939
