No.,WD (deg.),CB,x (m),y (m),z (m),Vs (m/s),,,,,,
108,22.5,0D,0.15,0.15,0.02,1.07,,,,,,
117,22.5,0D,0.15,0.2,0.02,1.28,,,,,,
126,22.5,0D,0.15,0.25,0.02,1.14,,,,,,
130,22.5,0D,0.15,0.3,0.02,1.24,,,,,,
87,22.5,0D,0.2,-0.3,0.02,2.33,,,,,,
86,22.5,0D,0.2,-0.25,0.02,1.93,,,,,,
85,22.5,0D,0.2,-0.2,0.02,1.69,,,,,,
84,22.5,0D,0.2,-0.15,0.02,1.59,,,,,,
83,22.5,0D,0.2,-0.1,0.02,1.24,,,,,,
82,22.5,0D,0.2,-0.05,0.02,1.39,,,,,,
81,22.5,0D,0.2,0,0.02,1.06,,,,,,
80,22.5,0D,0.2,0.05,0.02,0.92,,,,,,
79,22.5,0D,0.2,0.1,0.02,1.06,,,,,,
109,22.5,0D,0.2,0.15,0.02,1.27,,,,,,
118,22.5,0D,0.2,0.2,0.02,1.29,,,,,,
127,22.5,0D,0.2,0.25,0.02,1.48,,,,,,
131,22.5,0D,0.2,0.3,0.02,1.18,,,,,,
96,22.5,0D,0.25,-0.3,0.02,1.57,,,,,,
95,22.5,0D,0.25,-0.25,0.02,1.77,,,,,,
94,22.5,0D,0.25,-0.2,0.02,1.75,,,,,,
93,22.5,0D,0.25,-0.15,0.02,1.68,,,,,,
92,22.5,0D,0.25,-0.1,0.02,1.67,,,,,,
91,22.5,0D,0.25,-0.05,0.02,1.42,,,,,,
90,22.5,0D,0.25,0,0.02,1.1,,,,,,
89,22.5,0D,0.25,0.05,0.02,0.97,,,,,,
88,22.5,0D,0.25,0.1,0.02,1.04,,,,,,
110,22.5,0D,0.25,0.15,0.02,1.47,,,,,,
119,22.5,0D,0.25,0.2,0.02,1.58,,,,,,
128,22.5,0D,0.25,0.25,0.02,1.79,,,,,,
132,22.5,0D,0.25,0.3,0.02,1.85,,,,,,
99,22.5,0D,0.3,-0.25,0.02,1.79,,,,,,
98,22.5,0D,0.3,-0.2,0.02,2,,,,,,
97,22.5,0D,0.3,-0.15,0.02,2.3,,,,,,
111,22.5,0D,0.3,0.15,0.02,1.9,,,,,,
120,22.5,0D,0.3,0.2,0.02,2.5,,,,,,
129,22.5,0D,0.3,0.25,0.02,3.2,,,,,,
63,22.5,1D,-0.3,-0.25,0.02,3.22,,,,,,
54,22.5,1D,-0.3,-0.2,0.02,2.41,,,,,,
45,22.5,1D,-0.3,-0.15,0.02,1.67,,,,,,
31,22.5,1D,-0.3,0.15,0.02,2.96,,,,,,
32,22.5,1D,-0.3,0.2,0.02,2.44,,,,,,
33,22.5,1D,-0.3,0.25,0.02,1.82,,,,,,
66,22.5,1D,-0.25,-0.3,0.02,2.66,,,,,,
62,22.5,1D,-0.25,-0.25,0.02,2.82,,,,,,
53,22.5,1D,-0.25,-0.2,0.02,1.88,,,,,,
44,22.5,1D,-0.25,-0.15,0.02,1.53,,,,,,
22,22.5,1D,-0.25,-0.1,0.02,1.19,,,,,,
23,22.5,1D,-0.25,-0.05,0.02,0.88,,,,,,
24,22.5,1D,-0.25,0,0.02,0.84,,,,,,
25,22.5,1D,-0.25,0.05,0.02,0.74,,,,,,
26,22.5,1D,-0.25,0.1,0.02,2.68,,,,,,
27,22.5,1D,-0.25,0.15,0.02,2.46,,,,,,
28,22.5,1D,-0.25,0.2,0.02,1.86,,,,,,
29,22.5,1D,-0.25,0.25,0.02,1.45,,,,,,
30,22.5,1D,-0.25,0.3,0.02,1.16,,,,,,
65,22.5,1D,-0.2,-0.3,0.02,2.97,,,,,,
61,22.5,1D,-0.2,-0.25,0.02,2.33,,,,,,
52,22.5,1D,-0.2,-0.2,0.02,1.64,,,,,,
43,22.5,1D,-0.2,-0.15,0.02,1.52,,,,,,
13,22.5,1D,-0.2,-0.1,0.02,1.32,,,,,,
14,22.5,1D,-0.2,-0.05,0.02,1.08,,,,,,
15,22.5,1D,-0.2,0,0.02,0.93,,,,,,
16,22.5,1D,-0.2,0.05,0.02,1.37,,,,,,
17,22.5,1D,-0.2,0.1,0.02,2.6,,,,,,
18,22.5,1D,-0.2,0.15,0.02,2.12,,,,,,
19,22.5,1D,-0.2,0.2,0.02,1.63,,,,,,
20,22.5,1D,-0.2,0.25,0.02,1.44,,,,,,
21,22.5,1D,-0.2,0.3,0.02,1.28,,,,,,
64,22.5,1D,-0.15,-0.3,0.02,2.47,,,,,,
60,22.5,1D,-0.15,-0.25,0.02,2.1,,,,,,
51,22.5,1D,-0.15,-0.2,0.02,1.92,,,,,,
42,22.5,1D,-0.15,-0.15,0.02,1.84,,,,,,
4,22.5,1D,-0.15,-0.1,0.02,1.93,,,,,,
5,22.5,1D,-0.15,-0.05,0.02,2.24,,,,,,
6,22.5,1D,-0.15,0,0.02,2.12,,,,,,
7,22.5,1D,-0.15,0.05,0.02,2.24,,,,,,
8,22.5,1D,-0.15,0.1,0.02,2.16,,,,,,
9,22.5,1D,-0.15,0.15,0.02,2.07,,,,,,
10,22.5,1D,-0.15,0.2,0.02,2.01,,,,,,
11,22.5,1D,-0.15,0.25,0.02,2.05,,,,,,
12,22.5,1D,-0.15,0.3,0.02,2.11,,,,,,
59,22.5,1D,-0.1,-0.25,0.02,2.05,,,,,,
50,22.5,1D,-0.1,-0.2,0.02,2.27,,,,,,
41,22.5,1D,-0.1,-0.15,0.02,2.48,,,,,,
103,22.5,1D,-0.1,0.15,0.02,2.29,,,,,,
112,22.5,1D,-0.1,0.2,0.02,2.68,,,,,,
121,22.5,1D,-0.1,0.25,0.02,3.21,,,,,,
58,22.5,1D,-0.05,-0.25,0.02,2.11,,,,,,
49,22.5,1D,-0.05,-0.2,0.02,1.94,,,,,,
40,22.5,1D,-0.05,-0.15,0.02,1,,,,,,
104,22.5,1D,-0.05,0.15,0.02,2.46,,,,,,
113,22.5,1D,-0.05,0.2,0.02,2.18,,,,,,
122,22.5,1D,-0.05,0.25,0.02,1.17,,,,,,
57,22.5,1D,0,-0.25,0.02,2,,,,,,
48,22.5,1D,0,-0.2,0.02,1.54,,,,,,
39,22.5,1D,0,-0.15,0.02,1.05,,,,,,
105,22.5,1D,0,0.15,0.02,2.38,,,,,,
114,22.5,1D,0,0.2,0.02,1.69,,,,,,
123,22.5,1D,0,0.25,0.02,1.04,,,,,,
56,22.5,1D,0.05,-0.25,0.02,1.86,,,,,,
47,22.5,1D,0.05,-0.2,0.02,1.25,,,,,,
38,22.5,1D,0.05,-0.15,0.02,0.84,,,,,,
106,22.5,1D,0.05,0.15,0.02,2.17,,,,,,
115,22.5,1D,0.05,0.2,0.02,1.55,,,,,,
124,22.5,1D,0.05,0.25,0.02,0.97,,,,,,
69,22.5,1D,0.1,-0.25,0.02,1.66,,,,,,
68,22.5,1D,0.1,-0.2,0.02,1.2,,,,,,
67,22.5,1D,0.1,-0.15,0.02,1.05,,,,,,
107,22.5,1D,0.1,0.15,0.02,1.91,,,,,,
116,22.5,1D,0.1,0.2,0.02,1.18,,,,,,
125,22.5,1D,0.1,0.25,0.02,0.99,,,,,,
78,22.5,1D,0.15,-0.3,0.02,2.27,,,,,,
77,22.5,1D,0.15,-0.25,0.02,1.54,,,,,,
76,22.5,1D,0.15,-0.2,0.02,1.28,,,,,,
75,22.5,1D,0.15,-0.15,0.02,1.04,,,,,,
74,22.5,1D,0.15,-0.1,0.02,0.89,,,,,,
73,22.5,1D,0.15,-0.05,0.02,0.91,,,,,,
72,22.5,1D,0.15,0,0.02,0.79,,,,,,
71,22.5,1D,0.15,0.05,0.02,0.49,,,,,,
70,22.5,1D,0.15,0.1,0.02,2.12,,,,,,
108,22.5,1D,0.15,0.15,0.02,1.61,,,,,,
117,22.5,1D,0.15,0.2,0.02,1.23,,,,,,
126,22.5,1D,0.15,0.25,0.02,0.9,,,,,,
130,22.5,1D,0.15,0.3,0.02,1.13,,,,,,
87,22.5,1D,0.2,-0.3,0.02,1.86,,,,,,
86,22.5,1D,0.2,-0.25,0.02,1.46,,,,,,
85,22.5,1D,0.2,-0.2,0.02,1.37,,,,,,
84,22.5,1D,0.2,-0.15,0.02,1.46,,,,,,
83,22.5,1D,0.2,-0.1,0.02,1.22,,,,,,
82,22.5,1D,0.2,-0.05,0.02,1.42,,,,,,
81,22.5,1D,0.2,0,0.02,0.9,,,,,,
80,22.5,1D,0.2,0.05,0.02,0.87,,,,,,
79,22.5,1D,0.2,0.1,0.02,2.06,,,,,,
109,22.5,1D,0.2,0.15,0.02,1.5,,,,,,
118,22.5,1D,0.2,0.2,0.02,1.25,,,,,,
127,22.5,1D,0.2,0.25,0.02,1.3,,,,,,
131,22.5,1D,0.2,0.3,0.02,1.2,,,,,,
96,22.5,1D,0.25,-0.3,0.02,1.37,,,,,,
95,22.5,1D,0.25,-0.25,0.02,1.54,,,,,,
94,22.5,1D,0.25,-0.2,0.02,1.64,,,,,,
93,22.5,1D,0.25,-0.15,0.02,1.64,,,,,,
92,22.5,1D,0.25,-0.1,0.02,1.64,,,,,,
91,22.5,1D,0.25,-0.05,0.02,1.66,,,,,,
90,22.5,1D,0.25,0,0.02,1.58,,,,,,
89,22.5,1D,0.25,0.05,0.02,1.58,,,,,,
88,22.5,1D,0.25,0.1,0.02,1.55,,,,,,
110,22.5,1D,0.25,0.15,0.02,1.55,,,,,,
119,22.5,1D,0.25,0.2,0.02,1.59,,,,,,
128,22.5,1D,0.25,0.25,0.02,1.7,,,,,,
132,22.5,1D,0.25,0.3,0.02,1.64,,,,,,
99,22.5,1D,0.3,-0.25,0.02,1.48,,,,,,
98,22.5,1D,0.3,-0.2,0.02,1.8,,,,,,
97,22.5,1D,0.3,-0.15,0.02,2.04,,,,,,
111,22.5,1D,0.3,0.15,0.02,1.82,,,,,,
120,22.5,1D,0.3,0.2,0.02,2.45,,,,,,
129,22.5,1D,0.3,0.25,0.02,3.19,,,,,,
63,22.5,2D,-0.3,-0.25,0.02,2.47,,,,,,
54,22.5,2D,-0.3,-0.2,0.02,1.67,,,,,,
45,22.5,2D,-0.3,-0.15,0.02,1.66,,,,,,
31,22.5,2D,-0.3,0.15,0.02,2.69,,,,,,
32,22.5,2D,-0.3,0.2,0.02,2.3,,,,,,
33,22.5,2D,-0.3,0.25,0.02,1.73,,,,,,
66,22.5,2D,-0.25,-0.3,0.02,3.32,,,,,,
62,22.5,2D,-0.25,-0.25,0.02,2.33,,,,,,
53,22.5,2D,-0.25,-0.2,0.02,1.93,,,,,,
44,22.5,2D,-0.25,-0.15,0.02,2.02,,,,,,
22,22.5,2D,-0.25,-0.1,0.02,1.93,,,,,,
23,22.5,2D,-0.25,-0.05,0.02,1.47,,,,,,
24,22.5,2D,-0.25,0,0.02,1.41,,,,,,
25,22.5,2D,-0.25,0.05,0.02,1.27,,,,,,
26,22.5,2D,-0.25,0.1,0.02,2.12,,,,,,
27,22.5,2D,-0.25,0.15,0.02,2.51,,,,,,
28,22.5,2D,-0.25,0.2,0.02,1.92,,,,,,
29,22.5,2D,-0.25,0.25,0.02,1.53,,,,,,
30,22.5,2D,-0.25,0.3,0.02,1.1,,,,,,
65,22.5,2D,-0.2,-0.3,0.02,2.88,,,,,,
61,22.5,2D,-0.2,-0.25,0.02,2.45,,,,,,
52,22.5,2D,-0.2,-0.2,0.02,2.51,,,,,,
43,22.5,2D,-0.2,-0.15,0.02,2.62,,,,,,
13,22.5,2D,-0.2,-0.1,0.02,2.32,,,,,,
14,22.5,2D,-0.2,-0.05,0.02,2.02,,,,,,
15,22.5,2D,-0.2,0,0.02,1.75,,,,,,
16,22.5,2D,-0.2,0.05,0.02,1.62,,,,,,
17,22.5,2D,-0.2,0.1,0.02,2.11,,,,,,
18,22.5,2D,-0.2,0.15,0.02,2.16,,,,,,
19,22.5,2D,-0.2,0.2,0.02,1.69,,,,,,
20,22.5,2D,-0.2,0.25,0.02,1.38,,,,,,
21,22.5,2D,-0.2,0.3,0.02,1.07,,,,,,
64,22.5,2D,-0.15,-0.3,0.02,2.52,,,,,,
60,22.5,2D,-0.15,-0.25,0.02,2.69,,,,,,
51,22.5,2D,-0.15,-0.2,0.02,2.75,,,,,,
42,22.5,2D,-0.15,-0.15,0.02,2.98,,,,,,
4,22.5,2D,-0.15,-0.1,0.02,2.71,,,,,,
5,22.5,2D,-0.15,-0.05,0.02,2.64,,,,,,
6,22.5,2D,-0.15,0,0.02,2.32,,,,,,
7,22.5,2D,-0.15,0.05,0.02,2.16,,,,,,
8,22.5,2D,-0.15,0.1,0.02,1.75,,,,,,
9,22.5,2D,-0.15,0.15,0.02,1.95,,,,,,
10,22.5,2D,-0.15,0.2,0.02,1.9,,,,,,
11,22.5,2D,-0.15,0.25,0.02,1.81,,,,,,
12,22.5,2D,-0.15,0.3,0.02,1.79,,,,,,
59,22.5,2D,-0.1,-0.25,0.02,2.54,,,,,,
50,22.5,2D,-0.1,-0.2,0.02,2.94,,,,,,
41,22.5,2D,-0.1,-0.15,0.02,3.63,,,,,,
103,22.5,2D,-0.1,0.15,0.02,2.04,,,,,,
112,22.5,2D,-0.1,0.2,0.02,2.41,,,,,,
121,22.5,2D,-0.1,0.25,0.02,2.85,,,,,,
58,22.5,2D,-0.05,-0.25,0.02,2.71,,,,,,
49,22.5,2D,-0.05,-0.2,0.02,3.21,,,,,,
40,22.5,2D,-0.05,-0.15,0.02,3.35,,,,,,
104,22.5,2D,-0.05,0.15,0.02,2.32,,,,,,
113,22.5,2D,-0.05,0.2,0.02,2.29,,,,,,
122,22.5,2D,-0.05,0.25,0.02,1.5,,,,,,
57,22.5,2D,0,-0.25,0.02,2.95,,,,,,
48,22.5,2D,0,-0.2,0.02,3.42,,,,,,
39,22.5,2D,0,-0.15,0.02,2.99,,,,,,
105,22.5,2D,0,0.15,0.02,2.36,,,,,,
114,22.5,2D,0,0.2,0.02,1.98,,,,,,
123,22.5,2D,0,0.25,0.02,1.26,,,,,,
56,22.5,2D,0.05,-0.25,0.02,3.27,,,,,,
47,22.5,2D,0.05,-0.2,0.02,3.34,,,,,,
38,22.5,2D,0.05,-0.15,0.02,2.72,,,,,,
106,22.5,2D,0.05,0.15,0.02,2.34,,,,,,
115,22.5,2D,0.05,0.2,0.02,1.84,,,,,,
124,22.5,2D,0.05,0.25,0.02,1.22,,,,,,
69,22.5,2D,0.1,-0.25,0.02,3.08,,,,,,
68,22.5,2D,0.1,-0.2,0.02,3.14,,,,,,
67,22.5,2D,0.1,-0.15,0.02,2.85,,,,,,
107,22.5,2D,0.1,0.15,0.02,2.27,,,,,,
116,22.5,2D,0.1,0.2,0.02,1.62,,,,,,
125,22.5,2D,0.1,0.25,0.02,1.29,,,,,,
78,22.5,2D,0.15,-0.3,0.02,2.54,,,,,,
77,22.5,2D,0.15,-0.25,0.02,2.93,,,,,,
76,22.5,2D,0.15,-0.2,0.02,2.82,,,,,,
75,22.5,2D,0.15,-0.15,0.02,2.45,,,,,,
74,22.5,2D,0.15,-0.1,0.02,2.05,,,,,,
73,22.5,2D,0.15,-0.05,0.02,1.7,,,,,,
72,22.5,2D,0.15,0,0.02,1.38,,,,,,
71,22.5,2D,0.15,0.05,0.02,0.92,,,,,,
70,22.5,2D,0.15,0.1,0.02,2.93,,,,,,
108,22.5,2D,0.15,0.15,0.02,2.07,,,,,,
117,22.5,2D,0.15,0.2,0.02,1.6,,,,,,
126,22.5,2D,0.15,0.25,0.02,1.15,,,,,,
130,22.5,2D,0.15,0.3,0.02,1.25,,,,,,
87,22.5,2D,0.2,-0.3,0.02,2.51,,,,,,
86,22.5,2D,0.2,-0.25,0.02,2.66,,,,,,
85,22.5,2D,0.2,-0.2,0.02,2.39,,,,,,
84,22.5,2D,0.2,-0.15,0.02,1.92,,,,,,
83,22.5,2D,0.2,-0.1,0.02,1.56,,,,,,
82,22.5,2D,0.2,-0.05,0.02,1.82,,,,,,
81,22.5,2D,0.2,0,0.02,1.55,,,,,,
80,22.5,2D,0.2,0.05,0.02,1.94,,,,,,
79,22.5,2D,0.2,0.1,0.02,2.46,,,,,,
109,22.5,2D,0.2,0.15,0.02,1.94,,,,,,
118,22.5,2D,0.2,0.2,0.02,1.59,,,,,,
127,22.5,2D,0.2,0.25,0.02,1.42,,,,,,
131,22.5,2D,0.2,0.3,0.02,1.26,,,,,,
96,22.5,2D,0.25,-0.3,0.02,2.16,,,,,,
95,22.5,2D,0.25,-0.25,0.02,2.42,,,,,,
94,22.5,2D,0.25,-0.2,0.02,2.16,,,,,,
93,22.5,2D,0.25,-0.15,0.02,1.75,,,,,,
92,22.5,2D,0.25,-0.1,0.02,1.62,,,,,,
91,22.5,2D,0.25,-0.05,0.02,1.89,,,,,,
90,22.5,2D,0.25,0,0.02,2.19,,,,,,
89,22.5,2D,0.25,0.05,0.02,2.21,,,,,,
88,22.5,2D,0.25,0.1,0.02,1.79,,,,,,
110,22.5,2D,0.25,0.15,0.02,1.8,,,,,,
119,22.5,2D,0.25,0.2,0.02,1.77,,,,,,
128,22.5,2D,0.25,0.25,0.02,1.8,,,,,,
132,22.5,2D,0.25,0.3,0.02,1.66,,,,,,
99,22.5,2D,0.3,-0.25,0.02,2.21,,,,,,
98,22.5,2D,0.3,-0.2,0.02,2.29,,,,,,
97,22.5,2D,0.3,-0.15,0.02,2.29,,,,,,
111,22.5,2D,0.3,0.15,0.02,1.86,,,,,,
120,22.5,2D,0.3,0.2,0.02,2.29,,,,,,
129,22.5,2D,0.3,0.25,0.02,2.94,,,,,,
63,45,0D,-0.3,-0.25,0.02,3.19,,,,,,
54,45,0D,-0.3,-0.2,0.02,1.54,,,,,,
45,45,0D,-0.3,-0.15,0.02,1.06,,,,,,
31,45,0D,-0.3,0.15,0.02,2.73,,,,,,
32,45,0D,-0.3,0.2,0.02,1.54,,,,,,
33,45,0D,-0.3,0.25,0.02,1.5,,,,,,
66,45,0D,-0.25,-0.3,0.02,2.9,,,,,,
62,45,0D,-0.25,-0.25,0.02,2.78,,,,,,
53,45,0D,-0.25,-0.2,0.02,1.59,,,,,,
44,45,0D,-0.25,-0.15,0.02,1.33,,,,,,
22,45,0D,-0.25,-0.1,0.02,1.24,,,,,,
23,45,0D,-0.25,-0.05,0.02,1.01,,,,,,
24,45,0D,-0.25,0,0.02,1.03,,,,,,
25,45,0D,-0.25,0.05,0.02,0.83,,,,,,
26,45,0D,-0.25,0.1,0.02,3.32,,,,,,
27,45,0D,-0.25,0.15,0.02,2.23,,,,,,
28,45,0D,-0.25,0.2,0.02,1.46,,,,,,
29,45,0D,-0.25,0.25,0.02,1.48,,,,,,
30,45,0D,-0.25,0.3,0.02,1.24,,,,,,
65,45,0D,-0.2,-0.3,0.02,3.02,,,,,,
61,45,0D,-0.2,-0.25,0.02,2.15,,,,,,
52,45,0D,-0.2,-0.2,0.02,1.54,,,,,,
43,45,0D,-0.2,-0.15,0.02,1.48,,,,,,
13,45,0D,-0.2,-0.1,0.02,1.51,,,,,,
14,45,0D,-0.2,-0.05,0.02,1.35,,,,,,
15,45,0D,-0.2,0,0.02,1.23,,,,,,
16,45,0D,-0.2,0.05,0.02,1.78,,,,,,
17,45,0D,-0.2,0.1,0.02,3.15,,,,,,
18,45,0D,-0.2,0.15,0.02,2.06,,,,,,
19,45,0D,-0.2,0.2,0.02,1.52,,,,,,
20,45,0D,-0.2,0.25,0.02,1.51,,,,,,
21,45,0D,-0.2,0.3,0.02,1.49,,,,,,
64,45,0D,-0.15,-0.3,0.02,2.18,,,,,,
60,45,0D,-0.15,-0.25,0.02,1.71,,,,,,
51,45,0D,-0.15,-0.2,0.02,1.6,,,,,,
42,45,0D,-0.15,-0.15,0.02,1.34,,,,,,
4,45,0D,-0.15,-0.1,0.02,1.45,,,,,,
5,45,0D,-0.15,-0.05,0.02,1.45,,,,,,
6,45,0D,-0.15,0,0.02,1.84,,,,,,
7,45,0D,-0.15,0.05,0.02,2.73,,,,,,
8,45,0D,-0.15,0.1,0.02,2.98,,,,,,
9,45,0D,-0.15,0.15,0.02,2.47,,,,,,
10,45,0D,-0.15,0.2,0.02,2.16,,,,,,
11,45,0D,-0.15,0.25,0.02,2.45,,,,,,
12,45,0D,-0.15,0.3,0.02,2.86,,,,,,
59,45,0D,-0.1,-0.25,0.02,1.53,,,,,,
50,45,0D,-0.1,-0.2,0.02,1.37,,,,,,
41,45,0D,-0.1,-0.15,0.02,1.09,,,,,,
103,45,0D,-0.1,0.15,0.02,3.11,,,,,,
112,45,0D,-0.1,0.2,0.02,3.17,,,,,,
121,45,0D,-0.1,0.25,0.02,3.41,,,,,,
58,45,0D,-0.05,-0.25,0.02,1.46,,,,,,
49,45,0D,-0.05,-0.2,0.02,1.48,,,,,,
40,45,0D,-0.05,-0.15,0.02,1.17,,,,,,
104,45,0D,-0.05,0.15,0.02,2.4,,,,,,
113,45,0D,-0.05,0.2,0.02,1.43,,,,,,
122,45,0D,-0.05,0.25,0.02,0.79,,,,,,
57,45,0D,0,-0.25,0.02,1.52,,,,,,
48,45,0D,0,-0.2,0.02,1.38,,,,,,
39,45,0D,0,-0.15,0.02,1.34,,,,,,
105,45,0D,0,0.15,0.02,1.66,,,,,,
114,45,0D,0,0.2,0.02,1.34,,,,,,
123,45,0D,0,0.25,0.02,1.12,,,,,,
56,45,0D,0.05,-0.25,0.02,1.86,,,,,,
47,45,0D,0.05,-0.2,0.02,1.49,,,,,,
38,45,0D,0.05,-0.15,0.02,1.47,,,,,,
106,45,0D,0.05,0.15,0.02,1.51,,,,,,
115,45,0D,0.05,0.2,0.02,1.55,,,,,,
124,45,0D,0.05,0.25,0.02,1.23,,,,,,
69,45,0D,0.1,-0.25,0.02,2.04,,,,,,
68,45,0D,0.1,-0.2,0.02,1.76,,,,,,
67,45,0D,0.1,-0.15,0.02,1.63,,,,,,
107,45,0D,0.1,0.15,0.02,1.44,,,,,,
116,45,0D,0.1,0.2,0.02,1.47,,,,,,
125,45,0D,0.1,0.25,0.02,1.34,,,,,,
78,45,0D,0.15,-0.3,0.02,2.55,,,,,,
77,45,0D,0.15,-0.25,0.02,2.09,,,,,,
76,45,0D,0.15,-0.2,0.02,1.86,,,,,,
75,45,0D,0.15,-0.15,0.02,1.66,,,,,,
74,45,0D,0.15,-0.1,0.02,1.51,,,,,,
73,45,0D,0.15,-0.05,0.02,1.47,,,,,,
72,45,0D,0.15,0,0.02,1.39,,,,,,
71,45,0D,0.15,0.05,0.02,1.24,,,,,,
70,45,0D,0.15,0.1,0.02,1.33,,,,,,
108,45,0D,0.15,0.15,0.02,1.48,,,,,,
117,45,0D,0.15,0.2,0.02,1.56,,,,,,
126,45,0D,0.15,0.25,0.02,1.32,,,,,,
130,45,0D,0.15,0.3,0.02,1.15,,,,,,
87,45,0D,0.2,-0.3,0.02,2.15,,,,,,
86,45,0D,0.2,-0.25,0.02,1.94,,,,,,
85,45,0D,0.2,-0.2,0.02,1.84,,,,,,
84,45,0D,0.2,-0.15,0.02,1.83,,,,,,
83,45,0D,0.2,-0.1,0.02,1.69,,,,,,
82,45,0D,0.2,-0.05,0.02,1.71,,,,,,
81,45,0D,0.2,0,0.02,1.4,,,,,,
80,45,0D,0.2,0.05,0.02,1.27,,,,,,
79,45,0D,0.2,0.1,0.02,1.37,,,,,,
109,45,0D,0.2,0.15,0.02,1.6,,,,,,
118,45,0D,0.2,0.2,0.02,1.68,,,,,,
127,45,0D,0.2,0.25,0.02,1.85,,,,,,
131,45,0D,0.2,0.3,0.02,1.68,,,,,,
96,45,0D,0.25,-0.3,0.02,1.66,,,,,,
95,45,0D,0.25,-0.25,0.02,1.82,,,,,,
94,45,0D,0.25,-0.2,0.02,1.94,,,,,,
93,45,0D,0.25,-0.15,0.02,2.09,,,,,,
92,45,0D,0.25,-0.1,0.02,2.07,,,,,,
91,45,0D,0.25,-0.05,0.02,1.79,,,,,,
90,45,0D,0.25,0,0.02,1.44,,,,,,
89,45,0D,0.25,0.05,0.02,1.41,,,,,,
88,45,0D,0.25,0.1,0.02,1.44,,,,,,
110,45,0D,0.25,0.15,0.02,1.81,,,,,,
119,45,0D,0.25,0.2,0.02,2.18,,,,,,
128,45,0D,0.25,0.25,0.02,2.79,,,,,,
132,45,0D,0.25,0.3,0.02,3.22,,,,,,
99,45,0D,0.3,-0.25,0.02,1.73,,,,,,
98,45,0D,0.3,-0.2,0.02,2.21,,,,,,
97,45,0D,0.3,-0.15,0.02,2.7,,,,,,
111,45,0D,0.3,0.15,0.02,2.26,,,,,,
120,45,0D,0.3,0.2,0.02,3.27,,,,,,
129,45,0D,0.3,0.25,0.02,3.59,,,,,,
63,45,1D,-0.3,-0.25,0.02,2.37,,,,,,
54,45,1D,-0.3,-0.2,0.02,1.35,,,,,,
45,45,1D,-0.3,-0.15,0.02,1.68,,,,,,
31,45,1D,-0.3,0.15,0.02,2.66,,,,,,
32,45,1D,-0.3,0.2,0.02,1.49,,,,,,
33,45,1D,-0.3,0.25,0.02,1.54,,,,,,
66,45,1D,-0.25,-0.3,0.02,3.3,,,,,,
62,45,1D,-0.25,-0.25,0.02,1.91,,,,,,
53,45,1D,-0.25,-0.2,0.02,1.31,,,,,,
44,45,1D,-0.25,-0.15,0.02,1.64,,,,,,
22,45,1D,-0.25,-0.1,0.02,1.31,,,,,,
23,45,1D,-0.25,-0.05,0.02,0.92,,,,,,
24,45,1D,-0.25,0,0.02,1.01,,,,,,
25,45,1D,-0.25,0.05,0.02,0.88,,,,,,
26,45,1D,-0.25,0.1,0.02,3.53,,,,,,
27,45,1D,-0.25,0.15,0.02,2.21,,,,,,
28,45,1D,-0.25,0.2,0.02,1.48,,,,,,
29,45,1D,-0.25,0.25,0.02,1.48,,,,,,
30,45,1D,-0.25,0.3,0.02,1.23,,,,,,
65,45,1D,-0.2,-0.3,0.02,2.76,,,,,,
61,45,1D,-0.2,-0.25,0.02,1.83,,,,,,
52,45,1D,-0.2,-0.2,0.02,1.62,,,,,,
43,45,1D,-0.2,-0.15,0.02,1.91,,,,,,
13,45,1D,-0.2,-0.1,0.02,1.94,,,,,,
14,45,1D,-0.2,-0.05,0.02,1.8,,,,,,
15,45,1D,-0.2,0,0.02,1.67,,,,,,
16,45,1D,-0.2,0.05,0.02,2.27,,,,,,
17,45,1D,-0.2,0.1,0.02,2.94,,,,,,
18,45,1D,-0.2,0.15,0.02,1.87,,,,,,
19,45,1D,-0.2,0.2,0.02,1.46,,,,,,
20,45,1D,-0.2,0.25,0.02,1.51,,,,,,
21,45,1D,-0.2,0.3,0.02,1.57,,,,,,
64,45,1D,-0.15,-0.3,0.02,2.21,,,,,,
60,45,1D,-0.15,-0.25,0.02,1.94,,,,,,
51,45,1D,-0.15,-0.2,0.02,2.04,,,,,,
42,45,1D,-0.15,-0.15,0.02,2.35,,,,,,
4,45,1D,-0.15,-0.1,0.02,2.7,,,,,,
5,45,1D,-0.15,-0.05,0.02,3.06,,,,,,
6,45,1D,-0.15,0,0.02,3.04,,,,,,
7,45,1D,-0.15,0.05,0.02,2.8,,,,,,
8,45,1D,-0.15,0.1,0.02,2.12,,,,,,
9,45,1D,-0.15,0.15,0.02,1.89,,,,,,
10,45,1D,-0.15,0.2,0.02,1.94,,,,,,
11,45,1D,-0.15,0.25,0.02,2.35,,,,,,
12,45,1D,-0.15,0.3,0.02,2.86,,,,,,
59,45,1D,-0.1,-0.25,0.02,1.9,,,,,,
50,45,1D,-0.1,-0.2,0.02,2.62,,,,,,
41,45,1D,-0.1,-0.15,0.02,2.95,,,,,,
103,45,1D,-0.1,0.15,0.02,2.28,,,,,,
112,45,1D,-0.1,0.2,0.02,2.97,,,,,,
121,45,1D,-0.1,0.25,0.02,3.62,,,,,,
58,45,1D,-0.05,-0.25,0.02,2.1,,,,,,
49,45,1D,-0.05,-0.2,0.02,1.78,,,,,,
40,45,1D,-0.05,-0.15,0.02,0.52,,,,,,
